,SKU, Price ,Subcategory,Stock
1,"CABLE TIE 10"" OMEGA",3.00,ACCESSORIES,100
2,"CABLE TIE 12"" OMEGA",5.00,ACCESSORIES,100
3,"CABLE TIE 14"" OMEGA",6.00,ACCESSORIES,100
4,ROLLER CATCHES,5.00,ACCESSORIES,100
5,"FLEXIBLE HOSE 1/2 X 1/2 X 18"" ",100.00,ACCESSORIES,100
6,DOOR HANGER DAIKEN,400.00,ACCESSORIES,100
7,DRAWER GUIDE #12 BALL BEARING,150.00,ACCESSORIES,100
8,"HOSE CLAMP 1 1/4"" STAINLESS",20.00,ACCESSORIES,100
9,"SAFETY HASP 3""  BRASS PLATED ",15.00,ACCESSORIES,100
10,"SAFETY HASP 4"" STAINLESS ",35.00,ACCESSORIES,100
11,ALUMINUM TILE TRIM J-SILVER 10MM,130.00,ACCESSORIES,100
12,SHOWER HEAD 5FUNCTION SF2522 SHARK,380.00,ACCESSORIES,100
13,DRAWER GUIDE #16 ,85.00,ACCESSORIES,100
14,"HOOK N EYE 2 1/2""  BRASS PLATED",7.00,ACCESSORIES,100
15,"SAFETY HASP 3"" STAINLESS ",25.00,ACCESSORIES,100
16,"STEEL HINGES 4"" BRASS PLATED",20.00,ACCESSORIES,100
17,POWER SPRAYER CONNECTOR BRASS,65.00,ACCESSORIES,100
18,HOSE COUPLING 1/2 SF6114 SHARK,40.00,ACCESSORIES,100
19,DRAWER GUIDE #16 BALL BEARING,180.00,ACCESSORIES,100
20,"HOSE CLAMP 2"" STAINLESS",25.00,ACCESSORIES,100
21,"STEEL HINGES 1 1/2"" BRASS PLATED ",5.00,ACCESSORIES,100
22,"STAINLESS STEEL BARREL BOLT 3"" AMERILOCK",40.00,ACCESSORIES,100
23,CONCEALED HINGES HYDRAULIC A3,55.00,ACCESSORIES,100
24,"STAINLESS STEEL BARREL BOLT 2"" AMERILOCK",30.00,ACCESSORIES,100
25,LOOSE PIN HINGES 3 X 3 AMERILOCK ,120.00,ACCESSORIES,100
26,DRAWER GUIDE #18 BALL BEARING,200.00,ACCESSORIES,100
27,"HOSE CLAMP 3/4"" STAINLESS",15.00,ACCESSORIES,100
28,"STAINLESS STEEL BARREL BOLT 4"" AMERILOCK",50.00,ACCESSORIES,100
29,BRASS CUPHOOK 2,6.00,ACCESSORIES,100
30,DRAWER GUIDE #14 BALL BEARING,160.00,ACCESSORIES,100
31,POWER SPRAYER HOSE CONNECTOR 8MM B-16,100.00,ACCESSORIES,100
32,"HOOK N EYE 3"" BRASS PLATED",8.00,ACCESSORIES,100
33,BRASS CUPHOOK 1 1/2,5.00,ACCESSORIES,100
34,CABINET HANDLE 2003 B ORION,35.00,ACCESSORIES,100
35,CABINET HANDLE 2004 ORION,40.00,ACCESSORIES,100
36,CABLE TIE # 14,3.00,ACCESSORIES,100
37,LOOSE PIN HINGES HD 3X3 STANLEY,30.00,ACCESSORIES,100
38,"STEEL HINGES 2"" BRASS PLATED",8.00,ACCESSORIES,100
39,CONCEALED HINGES #1 AMERILOCK,25.00,ACCESSORIES,100
40,CABLE TIE 5 WHITE OPPO,1.00,ACCESSORIES,100
41,BRASS CUPHOOK 1,3.00,ACCESSORIES,100
42,FLAT WASHER S/S 5/16,1.50,BOLT & NUT,100
43,CAP SCREW S/S 5/16 X 1,10.00,BOLT & NUT,100
44,G.I CAPSCREW 1/4X3,5.00,BOLT & NUT,100
45,G.I CAPSCREW 5/16X1-1/2,6.00,BOLT & NUT,100
46,HEXAGONAL NUT 5/16'' ,0.75,BOLT & NUT,100
47,EXPANSION SHEILD LONG 1/4'',20.00,BOLT & NUT,100
48,CAP SCREW S/S 1/4 X 3,10.00,BOLT & NUT,100
49,G.I CAPSCREW 3/8X3,8.00,BOLT & NUT,100
50,CAP SCREW S/S 1/4 X 2,7.00,BOLT & NUT,100
51,G.I CAPSCREW 1/4X2,4.00,BOLT & NUT,100
